name,year,venue,paper_url,data_url,content,annotations,tags,note,category
Beyond8Bits,2026,CVPR,https://arxiv.org/abs/2603.00938,https://shreshthsaini.github.io/Beyond8Bits/,44K videos from 6.5K sources,over 1.5M crowd ratings,HDR VQA UGC AUTHENTIC,Largest crowdsourced real-world HDR UGC quality study to date,hdr
BrightVQ,2026,WACV,https://openaccess.thecvf.com/content/WACV2026/papers/Saini_BrightRate_Quality_Assessment_for_User-Generated_HDR_Videos_WACV_2026_paper.pdf,https://github.com/shreshthsaini/BrightVQ,"300 sources, 2,100 transcoded videos","73,794 crowd ratings",HDR VQA UGC AUTHENTIC,Subjective database dedicated to HDR UGC quality modelling,hdr
CHUG,2025,ICIP,https://arxiv.org/abs/2510.09879,https://github.com/shreshthsaini/CHUG,"856 UGC HDR sources, 5,992 transcoded videos","211,848 crowdsourced ratings",HDR VQA UGC AUTHENTIC,Large-scale subjective study of real-world user-generated HDR quality,hdr
HDRSDR-VQA,2025,arXiv,https://arxiv.org/abs/2505.21831,https://www.colorado.edu/lab/live/live-paired-comparison-hdr-vs-sdr-database,"960 videos, 54 sources, HDR and SDR pairs","over 22,000 pairwise comparisons, 145 subjects",HDR VQA,Content-level HDR versus SDR preference measured on consumer TVs,hdr
LIVE HDR-vs-SDR,2024,TIP,https://doi.org/10.1109/TIP.2024.3404890,https://live.ece.utexas.edu/research/LIVE_HDRvsSDR/index.html,"356 videos, 212 public","over 23,000 ratings, 67 subjects, 3 TV types",HDR VQA COMPRESSION,HDR versus SDR preference under compression and scaling across display types,hdr
YouTube SFV+HDR,2024,ICIP,https://doi.org/10.1109/ICIP51287.2024.10647927,,"300 reference videos, Rec.2020 HDR10, portrait",subjective score availability not confirmed,HDR VQA UGC,Portrait short-form HDR UGC content sourced from YouTube,hdr
LIVE-HDR,2023,TIP,https://doi.org/10.1109/TIP.2023.3333217,https://live.ece.utexas.edu/research/LIVEHDR/LIVEHDR_index.html,"310 videos, 31 sources","about 20K ratings, 66 subjects, 2 ambient conditions",HDR VQA COMPRESSION,"First public HDR10 video quality database, studied under two lighting conditions",hdr
SI-HDR,2022,SIGGRAPH,https://doi.org/10.1145/3528233.3530729,https://www.repository.cam.ac.uk/items/c02ccdde-db20-4acd-8941-7816ef6b7dc7,"181 HDR scenes, RAW stacks plus 6 reconstruction outputs",metric benchmark rather than a full MOS study,HDR IQA,Single-image HDR reconstruction benchmark used to stress-test HDR quality metrics,hdr
UPIQ,2022,TMM,https://doi.org/10.1109/TMM.2021.3076298,https://www.repository.cam.ac.uk/handle/1810/315373,"84 reference and 4,159 distorted images",MOS rescaled to an absolute photometric JOD scale,HDR IQA,Merges SDR and HDR databases onto one unified quality scale,hdr
MMSPG HDR JPEG-XT,2015,QoMEX,https://doi.org/10.1109/QoMEX.2015.7148119,https://qualinet.github.io/databases/image/mmspg_subjective_quality_assessment_database_of_hdr_images_compressed_with_jpeg_xt/,"20 scenes, 4 bitrates, 3 JPEG-XT profiles","MOS by DSIS, 24 subjects",HDR IQA COMPRESSION,Classic HDR compression study used to calibrate PU and HDR-VDP metrics,hdr
UHD-IQA,2024,arXiv,https://arxiv.org/abs/2406.17472,https://database.mmsp-kn.de/uhd-iqa-benchmark-database.html,"6,073 UHD 4K images","20 ratings per image, 10 expert raters",IQA AUTHENTIC AESTHETIC UGC,Curated 4K Pixabay photos scored for aesthetic and technical quality,image
RichHF-18K,2024,CVPR,https://arxiv.org/abs/2312.10240,https://github.com/google-research-datasets/richhf-18k,"18,000 generated images",4 fine-grained scores plus artifact heatmaps,IQA AIGC,"Point-level artifact and misalignment annotations, not just a single score",image
AGIQA-3K,2023,TCSVT,https://arxiv.org/abs/2306.04717,https://github.com/lcysyzxdxc/AGIQA-3k-Database,"2,982 AI-generated images","125,244 ratings, 21 raters on 2 dimensions",IQA AIGC,"Spans GAN, autoregressive and diffusion text-to-image models",image
PKU-I2IQA,2023,arXiv,https://arxiv.org/abs/2311.15556,https://github.com/jiquan123/I2IQA,"1,600 images","32,000 ratings, 20 raters",IQA AIGC,"Image-to-image generation quality, Midjourney and Stable Diffusion v1.5",image
AIGCIQA2023,2023,arXiv,https://arxiv.org/abs/2307.00211,https://github.com/wangjiarui153/AIGCIQA2023,"2,400 images","MOS for quality, authenticity and correspondence",IQA AIGC,"Six text-to-image models across 100 prompts, scored on three dimensions",image
GFIQA-20K,2023,TMM,https://arxiv.org/abs/2207.04904,https://github.com/DSL-FIQA/DSL-FIQA,"20,000 face images",MOS,IQA AUTHENTIC,Large annotated face-only quality set sampled from YFCC100M,image
AGIQA-1K,2023,arXiv,https://arxiv.org/abs/2303.12618,https://github.com/lcysyzxdxc/AGIQA-1k-Database,"1,080 images",MOS,IQA AIGC,"An early perceptual quality set for generated images, from two diffusion models",image
JUFE,2022,AAAI,https://cdn.aaai.org/ojs/19937/19937-13-23950-1-2-20220628.pdf,,"258 reference and 1,032 distorted 360 degree images",quality scores plus gaze and head-movement data,IQA SYNTHETIC,"Non-uniform distortion in omnidirectional images, modelling real VR viewing",image
TAD66K,2022,IJCAI,https://www.ijcai.org/proceedings/2022/0132.pdf,https://github.com/woshidandan/TANet-image-aesthetics-and-quality-assessment,"over 66,000 images","over 1,200 ratings per image",IQA AESTHETIC,47 theme-specific aesthetic criteria; unusually dense per-image annotation,image
BIQ2021,2022,JEI,https://arxiv.org/abs/2202.03879,https://github.com/nisarahmedrana/BIQ2021,"about 12,000 images",MOS,IQA AUTHENTIC,"Mixes casual, deliberately distorted and web-sourced photographs",image
UID2021,2022,TOMM,https://arxiv.org/abs/2204.08813,https://github.com/Hou-Guojia/UID2021,60 raw and 900 enhanced images,"MOS by pairwise comparison, 52 observers",IQA AUTHENTIC,"Underwater image enhancement benchmark, 6 scene types by 15 algorithms",image
KonIQ-10k,2020,TIP,https://arxiv.org/abs/1910.06180,https://database.mmsp-kn.de/koniq-10k-database.html,"10,073 images","1.2M ratings from 1,459 crowd workers",IQA AUTHENTIC UGC,Ecologically valid in-the-wild set sampled from YFCC100M,image
SPAQ,2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/html/Fang_Perceptual_Quality_Assessment_of_Smartphone_Photography_CVPR_2020_paper.html,https://github.com/h4nwei/SPAQ,"11,125 images",MOS plus per-attribute labels,IQA AUTHENTIC UGC,"Smartphone photographs with EXIF and brightness, contrast and noise labels",image
PaQ-2-PiQ,2020,CVPR,https://arxiv.org/abs/1912.10088,https://github.com/baidut/PaQ-2-PiQ,"40,000 images and 120,000 patches",about 4M human judgements,IQA AUTHENTIC UGC,Largest picture and patch quality study; maps patch quality onto whole pictures,image
NNID,2020,TMM,https://ieeexplore.ieee.org/abstract/document/8821407,,"2,240 images across 448 scenes",MOS,IQA AUTHENTIC,Dedicated subjective study of night-time image quality,image
KADID-10k,2019,QoMEX,https://arxiv.org/abs/2001.08113,https://database.mmsp-kn.de/kadid-10k-database.html,"81 pristine and 10,125 distorted images","30 ratings per image, DMOS",IQA SYNTHETIC,25 distortion types at 5 levels across 7 distortion categories,image
KADIS-700k,2019,QoMEX,https://arxiv.org/abs/2001.08113,https://database.mmsp-kn.de/kadid-10k-database.html,"140,000 pristine and 700,000 distorted images","none, deliberately unlabelled",IQA SYNTHETIC,Unlabelled companion to KADID-10k for weakly supervised pretraining,image
Waterloo Exploration,2017,TIP,https://ieeexplore.ieee.org/document/7752930/,https://kedema.org/project/exploration/index.html,"4,744 pristine and 94,880 distorted images","none; uses D-test, L-test and P-test instead",IQA SYNTHETIC,Deliberately has no MOS; tests generalisation by ranking criteria,image
CLIVE,2016,TIP,https://arxiv.org/abs/1511.02919,https://live.ece.utexas.edu/research/ChallengeDB/,"1,162 images","MOS, about 175 raters per image",IQA AUTHENTIC UGC,"Mobile-captured authentic distortion, crowdsourced; the LIVE Challenge database",image
AADB,2016,ECCV,https://arxiv.org/abs/1606.01621,https://github.com/aimerykong/deepImageAestheticsAnalysis,"10,000 images",5 raters per image plus 11 attributes,IQA AESTHETIC,Aesthetic score alongside 11 photographer-identified attribute labels,image
TID2013,2013,SPIC,https://www.ponomarenko.info/tid2013.htm,https://www.ponomarenko.info/tid2013.htm,"25 reference and 3,000 distorted images","MOS from about 524k judgements, 971 observers",IQA SYNTHETIC,"24 distortion types at 5 levels, from a multinational subjective study",image
AVA,2012,CVPR,https://ieeexplore.ieee.org/document/6247954,https://github.com/imfing/ava_downloader,"about 255,000 images",about 210 ratings per image,IQA AESTHETIC,Photo-contest images with 66 semantic and 14 style tags,image
CSIQ,2010,JEI,https://s2.smu.edu/~eclarson/pubs/2010JEI_MAD.pdf,https://qualinet.github.io/databases/image/categorical_image_quality_csiq_database/,30 reference and 866 distorted images,DMOS,IQA SYNTHETIC,Five distortion types including contrast decrement and pink noise,image
TID2008,2009,AMR,https://www.ponomarenko.info/tid2008.htm,https://www.ponomarenko.info/tid2008.htm,"25 reference and 1,700 distorted images",MOS from about 256k judgements,IQA SYNTHETIC,17 distortion types at 4 levels; the predecessor to TID2013,image
LIVE IQA,2006,TIP,https://ieeexplore.ieee.org/document/1709988,https://live.ece.utexas.edu/research/quality/subjective.htm,29 reference and 779 distorted images,"DMOS, 20 to 25 raters per image",IQA SYNTHETIC,"The foundational FR-IQA benchmark: JPEG, JPEG2000, noise, blur, fast fading",image
GameScope,2026,arXiv,https://arxiv.org/abs/2605.01272,https://rajeshsureddi.github.io/GameScope/,"4,048 videos from 424 clips across 74 games",about 37 ratings per video,VQA GAMING UGC,"Largest gaming quality set, spanning H.264, H.265 and AV1",video
GenAI-Bench,2024,NeurIPS,https://arxiv.org/abs/2406.04485,https://github.com/TIGER-AI-Lab/GenAI-Bench,video subset of GenAI-Arena outputs,"1,069 pairwise human votes",VQA AIGC,Human preference votes comparing text-to-video model outputs,video
T2VQA-DB,2024,ACMMM,https://arxiv.org/abs/2403.11956,https://github.com/QMME/T2VQA,"10,000 videos from 9 text-to-video models",MOS from 27 annotators,VQA AIGC,Large text-to-video quality set collected under an ITU-compliant protocol,video
VideoFeedback,2024,EMNLP,https://arxiv.org/abs/2406.15252,https://huggingface.co/datasets/TIGER-Lab/VideoFeedback,"about 37,600 videos from 11 generators","multi-aspect human scores, 1 to 4",VQA AIGC,"Quality, consistency and alignment scores; the training set behind VideoScore",video
EvalCrafter,2024,CVPR,https://arxiv.org/abs/2310.11440,https://github.com/evalcrafter/EvalCrafter,700 prompts across several text-to-video models,human-aligned scores over 17 metrics,VQA AIGC,Benchmark aligning objective metrics to human opinion,video
KVQ,2024,CVPR,https://arxiv.org/abs/2402.07220,https://github.com/lixinustc/KVQ-Challenge-CVPR-NTIRE2024,"4,200 videos, 600 uploaded and 3,600 processed",MOS per video,VQA UGC,"Short-form UGC across capture, transcode and enhancement pipelines",video
TaoLive QoE,2024,arXiv,https://arxiv.org/abs/2409.17596,https://ieee-dataport.org/documents/taolive-qoe-database,"1,197 videos, 42 sources",subjective QoE MOS,VQA STREAMING UGC,Live-streaming QoE including frame-skip and variable-frame-rate distortion,video
LIVE-YT-Gaming,2022,arXiv,https://arxiv.org/abs/2203.12824,https://live.ece.utexas.edu/research/LIVE-YT-Gaming/index.html,"600 videos from 59 games, 360p to 1080p","18,600 ratings, 61 subjects",VQA GAMING UGC,"Gaming clips with mixed capture, recording and compression distortion",video
LSVQ,2021,CVPR,https://arxiv.org/abs/2011.13544,https://github.com/baidut/PatchVQ,"38,811 videos, 240p to 1080p",about 5.5M patch-level scores,VQA UGC,The largest in-the-wild UGC video quality set; underlies the PVQ models,video
