name,title,year,venue,paper_url,code_url,tags,note,category
A-FINE,Toward Generalized Image Quality Assessment: Relaxing the Perfect Reference Quality Assumption,2025,CVPR,https://arxiv.org/abs/2503.11221,https://github.com/ChrisDud0257/AFINE,IQA FR DEEP,Adaptively blends fidelity and naturalness so the reference need not be flawless,fr-iqa
MILO,MILO: A Lightweight Perceptual Quality Metric for Image and Latent-Space Optimization,2025,arXiv,https://arxiv.org/abs/2509.01411,,IQA FR DEEP,"Compact multiscale FR metric trained on pseudo-MOS labels, fast enough to use as a loss",fr-iqa
ZS-IQA,Foundation Models Boost Low-Level Perceptual Similarity Metrics,2025,ICASSP,https://arxiv.org/abs/2409.07650,https://github.com/abhijay9/ZS-IQA,IQA FR DEEP,Zero-shot distances between intermediate DINO and CLIP ViT features beat trained deep metrics,fr-iqa
DreamSim,DreamSim: Learning New Dimensions of Human Visual Similarity using Synthetic Data,2023,NeurIPS,https://arxiv.org/abs/2306.09344,https://github.com/ssundaram21/dreamsim,IQA FR DEEP,"Mid-level metric tuned on synthetic triplets, sensitive to layout and semantics, not just pixels",fr-iqa
AHIQ,Attentions Help CNNs See Better: Attention-based Hybrid Image Quality Assessment Network,2022,CVPRW,https://arxiv.org/abs/2204.10485,https://github.com/IIGROUP/AHIQ,IQA FR DEEP TRANSFORMER,ViT and CNN hybrid with deformable convolution; won the NTIRE 2022 FR-IQA challenge,fr-iqa
DISTS,Image Quality Assessment: Unifying Structure and Texture Similarity,2020,TPAMI,https://arxiv.org/abs/2004.07728,https://github.com/dingkeyan93/DISTS,IQA FR DEEP,"Combines structure and texture correlations, tolerant to texture resampling",fr-iqa
LPIPS,The Unreasonable Effectiveness of Deep Features as a Perceptual Metric,2018,CVPR,https://arxiv.org/abs/1801.03924,https://github.com/richzhang/PerceptualSimilarity,IQA FR DEEP,Calibrated deep feature distance; still the standard learned perceptual baseline,fr-iqa
PieAPP,PieAPP: Perceptual Image-Error Assessment through Pairwise Preference,2018,CVPR,https://openaccess.thecvf.com/content_cvpr_2018/html/Prashnani_PieAPP_Perceptual_Image-Error_CVPR_2018_paper.html,https://github.com/prashnani/PerceptualImageError,IQA FR DEEP,Trains on pairwise preference probabilities instead of absolute quality scores,fr-iqa
WaDIQaM,Deep Neural Networks for No-Reference and Full-Reference Image Quality Assessment,2018,TIP,https://arxiv.org/abs/1612.01697,https://github.com/dmaniry/deepIQA,IQA FR NR DEEP,Patch-wise CNN jointly learns local quality scores and local pooling weights,fr-iqa
DeepQA,Deep Learning of Human Visual Sensitivity in Image Quality Assessment Framework,2017,CVPR,https://openaccess.thecvf.com/content_cvpr_2017/html/Kim_Deep_Learning_of_CVPR_2017_paper.html,,IQA FR DEEP,CNN learns a visual-sensitivity weighting map directly from IQA database statistics,fr-iqa
